class_id,teacher_id,name,time
8886,616715,class 97,MW 1530-1645
9213,258133,class 98,MW 1530-1645
5784,235917,class 99,MW 1530-1645
6896,484344,class 100,MW 1530-1645
7997,786214,class 101,MW 1530-1645
4766,997292,class 102,MW 1530-1645
6248,672273,class 103,MW 1530-1645
6257,415814,class 104,MW 1530-1645
5232,112555,class 105,MW 1530-1645
4158,838464,class 106,MW 1530-1645
6734,244666,class 107,MW 1530-1645
9385,345323,class 108,MW 1530-1645
4734,345323,class 109,MW 1530-1645
7952,616715,class 110,MW 1530-1645
8449,415814,class 111,MW 1530-1645
7638,165726,class 112,MW 1530-1645
4632,292631,class 113,MW 1530-1645
6292,292631,class 114,MW 1530-1645
6159,898824,class 115,MW 1530-1645
4566,173915,class 116,MW 1530-1645
4167,648451,class 117,MW 1530-1645
3969,484344,class 118,MW 1530-1645
4154,634195,class 119,MW 1530-1645
5694,328328,class 120,MW 1530-1645
4929,642152,class 121,MW 1530-1645
1841,672273,class 122,MW 1530-1645
1514,454321,class 123,MW 1530-1645
8541,449264,class 124,MW 1530-1645
4597,838464,class 125,MW 1530-1645
4422,298774,class 126,MW 1530-1645
6223,838464,class 127,MW 1530-1645
4653,688938,class 128,MW 1530-1645
2713,126421,class 129,MW 1530-1645
7875,913123,class 130,MW 1530-1645
1617,415814,class 131,MW 1530-1645
3737,298774,class 132,MW 1530-1645
2154,648451,class 133,MW 1530-1645
5228,292631,class 134,MW 1530-1645
4995,323912,class 135,MW 1530-1645
3688,818383,class 136,MW 1530-1645
2765,997292,class 137,MW 1530-1645
2864,648451,class 138,MW 1530-1645
9849,449264,class 139,MW 1530-1645
7138,129888,class 140,MW 1530-1645
7214,672273,class 141,MW 1530-1645
1794,344691,class 142,MW 1530-1645
1674,197923,class 143,MW 1530-1645
6894,345323,class 144,MW 1530-1645
6768,326466,class 145,MW 1530-1645
9887,763263,class 146,MW 1530-1645
5285,173915,class 147,MW 1530-1645
7719,197923,class 148,MW 1530-1645
6157,791843,class 149,MW 1530-1645
3816,328328,class 150,MW 1530-1645
8611,672273,class 151,MW 1530-1645
7468,688938,class 152,MW 1530-1645
3689,621115,class 153,MW 1530-1645
8532,478916,class 154,MW 1530-1645
4271,791843,class 155,MW 1530-1645
8933,763263,class 156,MW 1530-1645
6898,688938,class 157,MW 1530-1645
6191,793639,class 158,MW 1530-1645
4159,447398,class 159,MW 1530-1645
2373,793639,class 160,MW 1530-1645
6453,621115,class 161,MW 1530-1645
5414,898824,class 162,MW 1530-1645
9998,818789,class 163,MW 1530-1645
4786,513249,class 164,MW 1530-1645
2399,621115,class 165,MW 1530-1645
9589,257533,class 166,MW 1530-1645
6946,197923,class 167,MW 1530-1645
9965,112555,class 168,MW 1530-1645
7525,328328,class 169,MW 1530-1645
1636,133651,class 170,MW 1530-1645
5494,562489,class 171,MW 1530-1645
7672,326466,class 172,MW 1530-1645
6735,621115,class 173,MW 1530-1645
2374,976337,class 174,MW 1530-1645
1344,133651,class 175,MW 1530-1645
8659,484344,class 176,MW 1530-1645
9684,616715,class 177,MW 1530-1645
8489,818383,class 178,MW 1530-1645
2879,223682,class 179,MW 1530-1645
3825,876877,class 180,MW 1530-1645
6154,958567,class 181,MW 1530-1645
9757,688938,class 182,MW 1530-1645
1253,997292,class 183,MW 1530-1645
5168,235917,class 184,MW 1530-1645
6611,326466,class 185,MW 1530-1645
3963,258133,class 186,MW 1530-1645
4939,326466,class 187,MW 1530-1645
4589,976337,class 188,MW 1530-1645
6484,326466,class 189,MW 1530-1645
4169,478916,class 190,MW 1530-1645
7565,133651,class 191,MW 1530-1645
3811,173915,class 192,MW 1530-1645
9693,235917,class 193,MW 1530-1645
4199,173915,class 194,MW 1530-1645
3283,449264,class 195,MW 1530-1645
6688,328328,class 196,MW 1530-1645
2249,791843,class 197,MW 1530-1645
2226,748959,class 198,MW 1530-1645
6443,818789,class 199,MW 1530-1645
2126,997292,class 200,MW 1530-1645
1926,487544,class 201,MW 1530-1645
1152,958567,class 202,MW 1530-1645
6552,699727,class 203,MW 1530-1645
8535,292631,class 204,MW 1530-1645
1843,786731,class 205,MW 1530-1645
1463,298774,class 206,MW 1530-1645
9647,648451,class 207,MW 1530-1645
6772,997292,class 208,MW 1530-1645
1584,642152,class 209,MW 1530-1645
6718,791843,class 210,MW 1530-1645
8221,129888,class 211,MW 1530-1645
9136,447398,class 212,MW 1530-1645
7366,244666,class 213,MW 1530-1645
4856,292631,class 214,MW 1530-1645
1188,876877,class 215,MW 1530-1645
9864,449969,class 216,MW 1530-1645
7846,484344,class 217,MW 1530-1645
5289,786731,class 218,MW 1530-1645
9648,616715,class 219,MW 1530-1645
2557,344691,class 220,MW 1530-1645
7136,242556,class 221,MW 1530-1645
1781,786214,class 222,MW 1530-1645
1445,688938,class 223,MW 1530-1645
1734,876877,class 224,MW 1530-1645
9961,235917,class 225,MW 1530-1645
9637,699727,class 226,MW 1530-1645
2282,328328,class 227,MW 1530-1645
8878,112555,class 228,MW 1530-1645
5851,165726,class 229,MW 1530-1645
5936,641631,class 230,MW 1530-1645
1531,173915,class 231,MW 1530-1645
6926,786731,class 232,MW 1530-1645
7683,484344,class 233,MW 1530-1645
3866,786214,class 234,MW 1530-1645
8544,223682,class 235,MW 1530-1645
6339,415814,class 236,MW 1530-1645
8555,223682,class 237,MW 1530-1645
5625,112555,class 238,MW 1530-1645
1743,648451,class 239,MW 1530-1645
3167,223682,class 240,MW 1530-1645
9292,223682,class 241,MW 1530-1645
2564,178765,class 242,MW 1530-1645
5164,242556,class 243,MW 1530-1645
4613,178765,class 244,MW 1530-1645
9937,133651,class 245,MW 1530-1645
8157,323912,class 246,MW 1530-1645
3222,242556,class 247,MW 1530-1645
4443,326466,class 248,MW 1530-1645
7211,171178,class 249,MW 1530-1645
1397,344691,class 250,MW 1530-1645
9559,791843,class 251,MW 1530-1645
1627,478916,class 252,MW 1530-1645
5767,235917,class 253,MW 1530-1645
1345,112555,class 254,MW 1530-1645
1477,672273,class 255,MW 1530-1645
7799,478916,class 256,MW 1530-1645
8882,454321,class 257,MW 1530-1645
2519,898824,class 258,MW 1530-1645
7764,197923,class 259,MW 1530-1645
4487,258133,class 260,MW 1530-1645
1334,913123,class 261,MW 1530-1645
6759,763263,class 262,MW 1530-1645
7978,184795,class 263,MW 1530-1645
7722,298774,class 264,MW 1530-1645
9172,634195,class 265,MW 1530-1645
9585,976337,class 266,MW 1530-1645
2686,415814,class 267,MW 1530-1645
1878,223682,class 268,MW 1530-1645
5834,187298,class 269,MW 1530-1645
7767,487544,class 270,MW 1530-1645
8925,513249,class 271,MW 1530-1645
4187,562489,class 272,MW 1530-1645
3362,898824,class 273,MW 1530-1645
7128,958567,class 274,MW 1530-1645
5628,748959,class 275,MW 1530-1645
8673,336739,class 276,MW 1530-1645
6914,621115,class 277,MW 1530-1645
7121,415814,class 278,MW 1530-1645
7648,171178,class 279,MW 1530-1645
8729,415814,class 280,MW 1530-1645
6887,257533,class 281,MW 1530-1645
7694,171178,class 282,MW 1530-1645
5182,876877,class 283,MW 1530-1645
5595,328328,class 284,MW 1530-1645
9622,621115,class 285,MW 1530-1645
1429,484344,class 286,MW 1530-1645
1682,487544,class 287,MW 1530-1645
6235,641631,class 288,MW 1530-1645
8232,323912,class 289,MW 1530-1645
5771,328328,class 290,MW 1530-1645
3164,454321,class 291,MW 1530-1645
1359,112555,class 292,MW 1530-1645
6633,223682,class 293,MW 1530-1645
8257,688938,class 294,MW 1530-1645
5664,648451,class 295,MW 1530-1645
3361,786731,class 296,MW 1530-1645
1518,326466,class 297,MW 1530-1645
5349,513249,class 298,MW 1530-1645
8724,326466,class 299,MW 1530-1645
6115,642152,class 300,MW 1530-1645
1257,958567,class 301,MW 1530-1645
9548,838464,class 302,MW 1530-1645
4285,478916,class 303,MW 1530-1645
1183,178765,class 304,MW 1530-1645
3796,634195,class 305,MW 1530-1645
6299,958567,class 306,MW 1530-1645
3163,173915,class 307,MW 1530-1645
6829,345323,class 308,MW 1530-1645
3253,562489,class 309,MW 1530-1645
6193,793639,class 310,MW 1530-1645
2231,292631,class 311,MW 1530-1645
9481,292631,class 312,MW 1530-1645
6155,976337,class 313,MW 1530-1645
4478,187298,class 314,MW 1530-1645
1533,513249,class 315,MW 1530-1645
4263,415814,class 316,MW 1530-1645
3426,187298,class 317,MW 1530-1645
6326,976337,class 318,MW 1530-1645
5729,165726,class 319,MW 1530-1645
5658,184795,class 320,MW 1530-1645
7873,449969,class 321,MW 1530-1645
4191,165726,class 322,MW 1530-1645
6773,641631,class 323,MW 1530-1645
9725,235917,class 324,MW 1530-1645
2956,818789,class 325,MW 1530-1645
1947,688938,class 326,MW 1530-1645
6765,958567,class 327,MW 1530-1645
5481,484344,class 328,MW 1530-1645
9856,173915,class 329,MW 1530-1645
3791,258133,class 330,MW 1530-1645
4179,449969,class 331,MW 1530-1645
6654,976337,class 332,MW 1530-1645
6783,478916,class 333,MW 1530-1645
8184,298774,class 334,MW 1530-1645
3414,642152,class 335,MW 1530-1645
5165,838464,class 336,MW 1530-1645
2884,487544,class 337,MW 1530-1645
2719,292631,class 338,MW 1530-1645
2781,129888,class 339,MW 1530-1645
1486,791843,class 340,MW 1530-1645
4444,415814,class 341,MW 1530-1645
1554,763263,class 342,MW 1530-1645
7367,913123,class 343,MW 1530-1645
2368,634195,class 344,MW 1530-1645
6661,328328,class 345,MW 1530-1645
5515,257533,class 346,MW 1530-1645
5143,323912,class 347,MW 1530-1645
8183,223682,class 348,MW 1530-1645
2162,425816,class 349,MW 1530-1645
4815,242556,class 350,MW 1530-1645
4227,958567,class 351,MW 1530-1645
2647,187298,class 352,MW 1530-1645
4161,898824,class 353,MW 1530-1645
3387,112555,class 354,MW 1530-1645
9198,235917,class 355,MW 1530-1645
3938,126421,class 356,MW 1530-1645
6812,958567,class 357,MW 1530-1645
4113,648451,class 358,MW 1530-1645
2432,326466,class 359,MW 1530-1645
6487,326466,class 360,MW 1530-1645
5789,958567,class 361,MW 1530-1645
3234,129888,class 362,MW 1530-1645
2845,447398,class 363,MW 1530-1645
9425,258133,class 364,MW 1530-1645
4719,344691,class 365,MW 1530-1645
7779,484344,class 366,MW 1530-1645
4352,129888,class 367,MW 1530-1645
9833,997292,class 368,MW 1530-1645
6577,958567,class 369,MW 1530-1645
3218,621115,class 370,MW 1530-1645
5618,344691,class 371,MW 1530-1645
1741,958567,class 372,MW 1530-1645
2898,345323,class 373,MW 1530-1645
7829,562489,class 374,MW 1530-1645
1865,641631,class 375,MW 1530-1645
2816,112555,class 376,MW 1530-1645
3469,763263,class 377,MW 1530-1645
1757,487544,class 378,MW 1530-1645
5921,641631,class 379,MW 1530-1645
1954,562489,class 380,MW 1530-1645
9184,513249,class 381,MW 1530-1645
9538,763263,class 382,MW 1530-1645
9365,642152,class 383,MW 1530-1645
1168,786214,class 384,MW 1530-1645
4448,621115,class 385,MW 1530-1645
5486,298774,class 386,MW 1530-1645
2578,336739,class 387,MW 1530-1645
4446,258133,class 388,MW 1530-1645
6317,699727,class 389,MW 1530-1645
9698,184795,class 390,MW 1530-1645
6683,699727,class 391,MW 1530-1645
1248,344691,class 392,MW 1530-1645
2338,763263,class 393,MW 1530-1645
3957,478916,class 394,MW 1530-1645
4775,133651,class 395,MW 1530-1645
4438,976337,class 396,MW 1530-1645
9288,425816,class 397,MW 1530-1645
6357,641631,class 398,MW 1530-1645
4737,478916,class 399,MW 1530-1645
4368,298774,class 400,MW 1530-1645
5244,126421,class 401,MW 1530-1645
3699,648451,class 402,MW 1530-1645
7187,616715,class 403,MW 1530-1645
5169,129888,class 404,MW 1530-1645
4574,634195,class 405,MW 1530-1645
1163,699727,class 406,MW 1530-1645
2829,484344,class 407,MW 1530-1645
6686,323912,class 408,MW 1530-1645
8484,876877,class 409,MW 1530-1645
7266,328328,class 410,MW 1530-1645
5657,642152,class 411,MW 1530-1645
6319,298774,class 412,MW 1530-1645
2155,791843,class 413,MW 1530-1645
1593,913123,class 414,MW 1530-1645
2778,184795,class 415,MW 1530-1645
6934,345323,class 416,MW 1530-1645
1754,129888,class 417,MW 1530-1645
5931,449264,class 418,MW 1530-1645
1226,997292,class 419,MW 1530-1645
9231,298774,class 420,MW 1530-1645
3236,913123,class 421,MW 1530-1645
3241,133651,class 422,MW 1530-1645
3434,449264,class 423,MW 1530-1645
8944,173915,class 424,MW 1530-1645
8554,133651,class 425,MW 1530-1645
9927,345323,class 426,MW 1530-1645
8553,415814,class 427,MW 1530-1645
7968,818789,class 428,MW 1530-1645
3358,898824,class 429,MW 1530-1645
8367,242556,class 430,MW 1530-1645
4318,562489,class 431,MW 1530-1645
2516,298774,class 432,MW 1530-1645
3947,449969,class 433,MW 1530-1645
5959,223682,class 434,MW 1530-1645
2793,449264,class 435,MW 1530-1645
4735,345323,class 436,MW 1530-1645
8416,786731,class 437,MW 1530-1645
9892,197923,class 438,MW 1530-1645
1915,187298,class 439,MW 1530-1645
6129,449969,class 440,MW 1530-1645
5891,688938,class 441,MW 1530-1645
2728,793639,class 442,MW 1530-1645
4938,326466,class 443,MW 1530-1645
8261,898824,class 444,MW 1530-1645
5445,126421,class 445,MW 1530-1645
6922,449264,class 446,MW 1530-1645
1984,326466,class 447,MW 1530-1645
7711,748959,class 448,MW 1530-1645
7355,328328,class 449,MW 1530-1645
5145,621115,class 450,MW 1530-1645
1863,178765,class 451,MW 0930-1045
2166,242556,class 452,MW 0930-1045
9683,818383,class 453,MW 0930-1045
2375,478916,class 454,MW 0930-1045
2626,641631,class 455,MW 0930-1045
5275,171178,class 456,MW 0930-1045
6921,323912,class 457,MW 0930-1045
7413,786731,class 458,MW 0930-1045
2599,616715,class 459,MW 0930-1045
4453,616715,class 460,MW 0930-1045
8134,133651,class 461,MW 0930-1045
6337,648451,class 462,MW 0930-1045
2235,478916,class 463,MW 0930-1045
6296,298774,class 464,MW 0930-1045
8841,454321,class 465,MW 0930-1045
8552,699727,class 466,MW 0930-1045
2911,326466,class 467,MW 0930-1045
2419,258133,class 468,MW 0930-1045
3349,748959,class 469,MW 0930-1045
4755,786214,class 470,MW 0930-1045
7566,838464,class 471,MW 0930-1045
6429,112555,class 472,MW 0930-1045
2931,913123,class 473,MW 0930-1045
3224,184795,class 474,MW 0930-1045
3368,513249,class 475,MW 0930-1045
3273,958567,class 476,MW 0930-1045
4153,197923,class 477,MW 0930-1045
7361,133651,class 478,MW 0930-1045
5583,344691,class 479,MW 0930-1045
1812,345323,class 480,MW 0930-1045
4687,447398,class 481,MW 0930-1045
1752,126421,class 482,MW 0930-1045
8647,513249,class 483,MW 0930-1045
5242,484344,class 484,MW 0930-1045
4449,616715,class 485,MW 0930-1045
8746,976337,class 486,MW 0930-1045
8798,129888,class 487,MW 0930-1045
9897,126421,class 488,MW 0930-1045
5382,171178,class 489,MW 0930-1045
1131,449969,class 490,MW 0930-1045
5299,425816,class 491,MW 0930-1045
4871,323912,class 492,MW 0930-1045
5162,449264,class 493,MW 0930-1045
1146,292631,class 494,MW 0930-1045
4715,621115,class 495,MW 0930-1045
5711,478916,class 496,MW 0930-1045
9199,818383,class 497,MW 0930-1045
1814,976337,class 498,MW 0930-1045
7635,449264,class 499,MW 0930-1045
5255,976337,class 500,MW 0930-1045
6951,129888,class 501,MW 0930-1045
5338,447398,class 502,MW 0930-1045
7974,642152,class 503,MW 0930-1045
7235,415814,class 504,MW 0930-1045
3369,478916,class 505,MW 0930-1045
5561,345323,class 506,MW 0930-1045
6237,487544,class 507,MW 0930-1045
4522,513249,class 508,MW 0930-1045
9673,898824,class 509,MW 0930-1045
2275,898824,class 510,MW 0930-1045
6622,197923,class 511,MW 0930-1045
1114,818383,class 512,MW 0930-1045
4348,876877,class 513,MW 0930-1045
1317,187298,class 514,MW 0930-1045
7534,818789,class 515,MW 0930-1045
2536,257533,class 516,MW 0930-1045
3335,165726,class 517,MW 0930-1045
5112,688938,class 518,MW 0930-1045
9588,958567,class 519,MW 0930-1045
1873,165726,class 520,MW 0930-1045
9591,187298,class 521,MW 0930-1045
3968,235917,class 522,MW 0930-1045
7267,958567,class 523,MW 0930-1045
1816,447398,class 524,MW 0930-1045
2269,454321,class 525,MW 0930-1045
4851,447398,class 526,MW 0930-1045
7372,484344,class 527,MW 0930-1045
9393,634195,class 528,MW 0930-1045
9651,478916,class 529,MW 0930-1045
7284,345323,class 530,MW 0930-1045
6733,997292,class 531,MW 0930-1045
8536,791843,class 532,MW 0930-1045
7154,786731,class 533,MW 0930-1045
5177,763263,class 534,MW 0930-1045
6756,298774,class 535,MW 0930-1045
5637,126421,class 536,MW 0930-1045
9423,298774,class 537,MW 0930-1045
4568,793639,class 538,MW 0930-1045
2445,328328,class 539,MW 0930-1045
9584,976337,class 540,MW 0930-1045
2294,197923,class 541,MW 0930-1045
7174,648451,class 542,MW 0930-1045
2198,763263,class 543,MW 0930-1045
1994,763263,class 544,MW 0930-1045
4486,786214,class 545,MW 0930-1045
2775,763263,class 546,MW 0930-1045
7249,642152,class 547,MW 0930-1045
3674,997292,class 548,MW 0930-1045
6796,258133,class 549,MW 0930-1045
5252,112555,class 550,MW 0930-1045
3684,513249,class 551,MW 0930-1045
4723,223682,class 552,MW 0930-1045
5219,838464,class 553,MW 0930-1045
3526,958567,class 554,MW 0930-1045
4467,786731,class 555,MW 0930-1045
3495,242556,class 556,MW 0930-1045
2811,129888,class 557,MW 0930-1045
6334,997292,class 558,MW 0930-1045
9971,129888,class 559,MW 0930-1045
9149,344691,class 560,MW 0930-1045
5949,562489,class 561,MW 0930-1045
9392,415814,class 562,MW 0930-1045
1324,454321,class 563,MW 0930-1045
8479,763263,class 564,MW 0930-1045
2461,326466,class 565,MW 0930-1045
9161,791843,class 566,MW 0930-1045
4969,818383,class 567,MW 0930-1045
8526,913123,class 568,MW 0930-1045
5185,415814,class 569,MW 0930-1045
7575,323912,class 570,MW 0930-1045
3255,258133,class 571,MW 0930-1045
6956,292631,class 572,MW 0930-1045
5346,292631,class 573,MW 0930-1045
7863,173915,class 574,MW 0930-1045
2171,913123,class 575,MW 0930-1045
9682,997292,class 576,MW 0930-1045
9912,447398,class 577,MW 0930-1045
8585,126421,class 578,MW 0930-1045
9992,513249,class 579,MW 0930-1045
5352,513249,class 580,MW 0930-1045
7892,292631,class 581,MW 0930-1045
8584,345323,class 582,MW 0930-1045
1418,688938,class 583,MW 0930-1045
2777,126421,class 584,MW 0930-1045
9776,258133,class 585,MW 0930-1045
2462,648451,class 586,MW 0930-1045
5721,292631,class 587,MW 0930-1045
6872,898824,class 588,MW 0930-1045
1621,648451,class 589,MW 0930-1045
2361,484344,class 590,MW 0930-1045
5885,171178,class 591,MW 0930-1045
1839,344691,class 592,MW 0930-1045
5198,487544,class 593,MW 0930-1045
3119,336739,class 594,MW 0930-1045
3719,449969,class 595,MW 0930-1045
4671,165726,class 596,MW 0930-1045
3497,478916,class 597,MW 0930-1045
8797,344691,class 598,MW 0930-1045
5123,244666,class 599,MW 0930-1045
6593,818789,class 600,MW 0930-1045
1667,244666,class 601,MW 0930-1045
7725,913123,class 602,MW 0930-1045
4527,818383,class 603,MW 0930-1045
6945,187298,class 604,MW 0930-1045
4765,791843,class 605,MW 0930-1045
8571,641631,class 606,MW 0930-1045
7144,447398,class 607,MW 0930-1045
6539,642152,class 608,MW 0930-1045
3589,672273,class 609,MW 0930-1045
5217,484344,class 610,MW 0930-1045
7493,197923,class 611,MW 0930-1045
2522,699727,class 612,MW 0930-1045
8389,513249,class 613,MW 0930-1045
7193,454321,class 614,MW 0930-1045
8775,621115,class 615,MW 0930-1045
1888,763263,class 616,MW 0930-1045
4639,838464,class 617,MW 0930-1045
2856,323912,class 618,MW 0930-1045
6827,838464,class 619,MW 0930-1045
3851,171178,class 620,MW 0930-1045
1267,242556,class 621,MW 0930-1045
9997,336739,class 622,MW 0930-1045
5824,235917,class 623,MW 0930-1045
8236,336739,class 624,MW 0930-1045
2772,688938,class 625,MW 0930-1045
8817,616715,class 626,MW 0930-1045
2758,242556,class 627,MW 0930-1045
7577,898824,class 628,MW 0930-1045
4349,257533,class 629,MW 0930-1045
2824,328328,class 630,MW 0930-1045
2151,562489,class 631,MW 0930-1045
7562,818789,class 632,MW 0930-1045
4464,487544,class 633,MW 0930-1045
1776,838464,class 634,MW 0930-1045
2897,672273,class 635,MW 0930-1045
4176,621115,class 636,MW 0930-1045
8627,793639,class 637,MW 0930-1045
4412,699727,class 638,MW 0930-1045
3516,616715,class 639,MW 0930-1045
3576,997292,class 640,MW 0930-1045
5998,621115,class 641,MW 0930-1045
1966,748959,class 642,MW 0930-1045
6518,298774,class 643,MW 0930-1045
2185,326466,class 644,MW 0930-1045
3831,257533,class 645,MW 0930-1045
4676,976337,class 646,MW 0930-1045
9395,336739,class 647,MW 0930-1045
3329,242556,class 648,MW 0930-1045
9633,244666,class 649,MW 0930-1045
2843,344691,class 650,MW 0930-1045
6839,454321,class 651,MW 0930-1045
2233,165726,class 652,MW 0930-1045
2336,223682,class 653,MW 0930-1045
9163,616715,class 654,MW 0930-1045
4164,876877,class 655,MW 0930-1045
9151,112555,class 656,MW 0930-1045
8566,997292,class 657,MW 0930-1045
7452,425816,class 658,MW 0930-1045
6236,634195,class 659,MW 0930-1045
9824,513249,class 660,MW 0930-1045
7461,178765,class 661,MW 0930-1045
2183,672273,class 662,MW 0930-1045
4675,425816,class 663,MW 0930-1045
9283,328328,class 664,MW 0930-1045
3535,258133,class 665,MW 0930-1045
8875,258133,class 666,MW 0930-1045
4354,616715,class 667,MW 0930-1045
7788,326466,class 668,MW 0930-1045
3633,958567,class 669,MW 0930-1045
8382,126421,class 670,MW 0930-1045
4217,326466,class 671,MW 0930-1045
6895,336739,class 672,MW 0930-1045
5284,178765,class 673,MW 0930-1045
7664,818383,class 674,MW 0930-1045
6315,642152,class 675,MW 0930-1045
8488,112555,class 676,MW 0930-1045
3554,791843,class 677,MW 0930-1045
6563,688938,class 678,MW 0930-1045
9129,487544,class 679,MW 0930-1045
9223,223682,class 680,MW 0930-1045
9315,454321,class 681,MW 0930-1045
3575,478916,class 682,MW 0930-1045
7794,171178,class 683,MW 0930-1045
2749,345323,class 684,MW 0930-1045
8332,129888,class 685,MW 0930-1045
4966,447398,class 686,MW 0930-1045
6858,449264,class 687,MW 0930-1045
6216,513249,class 688,MW 0930-1045
1561,447398,class 689,MW 0930-1045
1218,326466,class 690,MW 0930-1045
6777,129888,class 691,MW 0930-1045
5328,648451,class 692,MW 0930-1045
4145,344691,class 693,MW 0930-1045
7393,641631,class 694,MW 0930-1045
7475,634195,class 695,MW 0930-1045
6238,447398,class 696,MW 0930-1045
2219,688938,class 697,MW 0930-1045
1844,786214,class 698,MW 0930-1045
6849,173915,class 699,MW 0930-1045
1381,786214,class 700,MW 0930-1045
6844,786214,class 701,MW 0930-1045
3724,621115,class 702,MW 0930-1045
8148,562489,class 703,MW 0930-1045
1314,323912,class 704,MW 0930-1045
3271,641631,class 705,MW 0930-1045
8215,672273,class 706,MW 0930-1045
8356,298774,class 707,MW 0930-1045
8626,898824,class 708,MW 0930-1045
5765,292631,class 709,MW 0930-1045
4691,786731,class 710,MW 0930-1045
6283,642152,class 711,MW 0930-1045
9921,244666,class 712,MW 0930-1045
8439,876877,class 713,MW 0930-1045
9554,562489,class 714,MW 0930-1045
3322,699727,class 715,MW 0930-1045
4233,484344,class 716,MW 0930-1045
7729,786214,class 717,MW 0930-1045
6657,642152,class 718,MW 0930-1045
5582,562489,class 719,MW 0930-1045
5512,323912,class 720,MW 0930-1045
2733,818789,class 721,MW 0930-1045
5361,242556,class 722,MW 0930-1045
2764,326466,class 723,MW 0930-1045
5462,447398,class 724,MW 0930-1045
5738,178765,class 725,MW 0930-1045
2722,336739,class 726,MW 0930-1045
2458,197923,class 727,MW 0930-1045
5964,672273,class 728,MW 0930-1045
6359,344691,class 729,MW 0930-1045
7663,898824,class 730,MW 0930-1045
8556,672273,class 731,MW 0930-1045
1111,621115,class 732,MW 0930-1045
4841,484344,class 733,MW 0930-1045
1675,699727,class 734,MW 0930-1045
4996,129888,class 735,MW 0930-1045
